feature,type
MSSubClass,nominal
MSZoning,nominal
LotFrontage,numerical
LotArea,numerical
Street,nominal
Alley,nominal
LotShape,ordinal
LandContour,nominal
Utilities,ordinal
LotConfig,nominal
LandSlope,ordinal
Neighborhood,nominal
Condition1,nominal
Condition2,nominal
BldgType,nominal
HouseStyle,nominal
OverallQual,ordinal
OverallCond,ordinal
YearBuilt,numerical
YearRemodAdd,numerical
RoofStyle,nominal
RoofMatl,nominal
Exterior1st,nominal
Exterior2nd,nominal
MasVnrType,nominal
MasVnrArea,numerical
ExterQual,ordinal
ExterCond,ordinal
Foundation,nominal
BsmtQual,ordinal
BsmtCond,ordinal
BsmtExposure,ordinal
BsmtFinType1,ordinal
BsmtFinSF1,numerical
BsmtFinType2,ordinal
BsmtFinSF2,numerical
BsmtUnfSF,numerical
TotalBsmtSF,numerical
Heating,nominal
HeatingQC,ordinal
CentralAir,nominal
Electrical,nominal
1stFlrSF,numerical
2ndFlrSF,numerical
LowQualFinSF,numerical
GrLivArea,numerical
BsmtFullBath,numerical
BsmtHalfBath,numerical
FullBath,numerical
HalfBath,numerical
BedroomAbvGr,numerical
KitchenAbvGr,numerical
KitchenQual,ordinal
TotRmsAbvGrd,numerical
Functional,ordinal
Fireplaces,numerical
FireplaceQu,ordinal
GarageType,nominal
GarageYrBlt,numerical
GarageFinish,ordinal
GarageCars,numerical
GarageArea,numerical
GarageQual,ordinal
GarageCond,ordinal
PavedDrive,nominal
WoodDeckSF,numerical
OpenPorchSF,numerical
EnclosedPorch,numerical
3SsnPorch,numerical
ScreenPorch,numerical
PoolArea,numerical
PoolQC,ordinal
Fence,ordinal
MiscFeature,nominal
MiscVal,numerical
MoSold,nominal
YrSold,numerical
SaleType,nominal
SaleCondition,nominal
